Description,total_sales,total_revenue
  DOORMAT UNION JACK GUNS AND ROSES,167,1071.25
 3 STRIPEY MICE FELTCRAFT,662,1241.1
 4 PURPLE FLOCK DINNER CANDLES,324,495.16
 50'S CHRISTMAS GIFT BAG LARGE,1885,2272.25
 ANIMAL STICKERS,385,80.85
 BLACK PIRATE TREASURE CHEST,45,74.25
 BROWN  PIRATE TREASURE CHEST ,36,59.4
 Bank Charges,2,30
 CAMPHOR WOOD PORTOBELLO MUSHROOM,43,53.75
 CHERRY BLOSSOM  DECORATIVE FLASK,308,1068.6
 DOLLY GIRL BEAKER,2394,2754.5
 FAIRY CAKE CANDLES,153,202.05
 FLAMINGO LIGHTS,359,1523.85
 HOME SWEET HOME  BLACKBOARD,117,722.31
 I LOVE LONDON MINI BACKPACK,359,1449.85
 I LOVE LONDON MINI RUCKSACK,1,4.15
 IVORY PAPER CUP CAKE CASES ,1146,521.1
 LARGE SKULL WINDMILL,8,16.8
 NEW BAROQUE BLACK BOXES,6,76.5
 NINE DRAWER OFFICE TIDY,54,777.9
 OVAL WALL MIRROR DIAMANTE ,140,1239.05
 PAINT YOUR OWN CANVAS SET,480,724.8
 PEACE WOODEN BLOCK LETTERS,133,917.15
 RED SPOT GIFT BAG LARGE,1686,2023.5
 RED/WHITE DOT MINI CASES,478,3528.18
 RIDGED GLASS T-LIGHT HOLDER,940,531.8
 SET 2 TEA TOWELS I LOVE LONDON ,3511,9726.85
 SET Of 6 SOLDIER SKITTLES,16,60
 SILVER CHERRY LIGHTS,264,1594.8
 SILVER T-LIGHT SETTING,37,240.15
 SPACEBOY BABY GIFT SET,449,7048.55
 STAR  T-LIGHT HOLDER ,20,29
 TOADSTOOL BEDSIDE LIGHT ,2,17.9
 TRELLIS COAT RACK,217,1016.55
 VINTAGE DESIGN GIFT TAGS,244,207.4
 WHITE BAMBOO RIBS LAMPSHADE,210,148.26
 WHITE CHERRY LIGHTS,1986,11697.3
10 COLOUR SPACEBOY PEN,11892,9878.1
11 PC CERAMIC TEA SET POLKADOT,3,14.85
12 ASS ZINC CHRISTMAS DECORATIONS,429,900.9
12 COLOURED PARTY BALLOONS,4157,2637.85
12 DAISY PEGS IN WOOD BOX,895,1476.75
12 EGG HOUSE PAINTED WOOD,475,5176.67
12 HANGING EGGS HAND PAINTED,40,83.2
12 IVORY ROSE PEG PLACE SETTINGS,2377,2882.33
12 MESSAGE CARDS WITH ENVELOPES,2960,4716
12 MINI TOADSTOOL PEGS,465,581.25
12 PENCIL SMALL TUBE WOODLAND,9091,5776.55
12 PENCILS SMALL TUBE POSY,518,336.7
12 PENCILS SMALL TUBE RED RETROSPOT,9493,6111.65
12 PENCILS SMALL TUBE RED SPOTTY,7997,4998.05
12 PENCILS SMALL TUBE SKULL,12699,8049.15
12 PENCILS TALL TUBE POSY,5821,1887.29
12 PENCILS TALL TUBE RED RETROSPOT,3807,3229.71
12 PENCILS TALL TUBE RED SPOTTY,2239,1878.19
12 PENCILS TALL TUBE SKULLS,4601,3899.93
